,guest 1,guest 2,guest 3,guest 4,guest 5,guest 6,guest 7,guest 8,guest 9,guest 10,guest 11,guest 12,guest 13,guest 14,guest 15,guest 16,guest 17,guest 18,guest 19,guest 20,guest 21,guest 22,guest 23,guest 24,guest 25,guest 26,guest 27,guest 28,guest 29,guest 30
1,c,王中平,侯昌明,沈玉琳,Paul,,,,,,,,,,,,,,,,,,,,,,,,,
2,c,康康,張秀卿,翁立友,李崗霖,陳予新,,,,,,,,,,,,,,,,,,,,,,,,
3,c,原告,小甜甜,Eason,林進,允潔媽,被告,謝忻,無尊,小A辣,蔡允潔,,,,,,,,,,,,,,,,,,,
4,c,紅隊,Paul,蔡允潔,香蕉,Becca,藍隊,阿虎,曾智希,陳為民,拉拉,,,,,,,,,,,,,,,,,,,
5,c,甄莉,Mei,陳櫻文,琪琪,徐小可,,,,,,,,,,,,,,,,,,,,,,,,
6,c,馬國賢,貝童彤,允潔媽,劉尚謙,Uyi,,,,,,,,,,,,,,,,,,,,,,,,
7,c,侯昌明,KenKen,林秀琴,陳琳,Ivy,Mita,甄莉,Sky,,,,,,,,,,,,,,,,,,,,,
8,c,亦帆,大根,阿虎,逸祥,舒子晨,許書豪,嘻小瓜,,,,,,,,,,,,,,,,,,,,,,
9,c,曾琴,R,ONE,葉公曹西平,趙正平,張立東,Vicky,山豬,Sky,孫其君,,,,,,,,,,,,,,,,,,,
10,c,曾琴,R,ONE,葉公曹西平,趙正平,張立東,Vicky,山豬,Sky,孫其君,評審,曹西平,呂文婉卡古,阿虎,安喬,U,小賴,婁峻碩,博焱,貝童彤,田舞陽,無尊,餅乾,,,,,,
11,c,評審,曹西平,呂文婉卡古,阿虎,安喬,U,小賴,婁峻碩,博焱,貝童彤,田舞陽,無尊,餅乾,,,,,,,,,,,,,,,,
12,c,小熊,Champion,包家禎,亞倫,貝莉莓,查克茲,,,,,,,,,,,,,,,,,,,,,,,
13,c,甄莉,咪咪,陳立芹,佩佩,林秀琴,,,,,,,,,,,,,,,,,,,,,,,,
14,c,小鍾,大女孩,大根,阿虎,山豬,TOP1男子漢,黃韋綸,鄞芽兒,,,,,,,,,,,,,,,,,,,,,
15,c,藍隊,裴頡,李懿,大愷,陳大天,紅隊,張立東,曾智希,詹子晴,惟毅,,,,,,,,,,,,,,,,,,,
16,c,連天豪,Emi,Alice,黃煜晏,魏智偉,陳彥宇,洪翊騰,,,,,,,,,,,,,,,,,,,,,,
17,c,曹西平,嘻小瓜,沈玉琳,蔡允潔,大根,梁凱莉,熊熊,助理主持,趙正平,,,,,,,,,,,,,,,,,,,,
18,c,評審,張軒睿,塗善存陳予新,辛龍,卓義峰,郭曉曉,安喬,撒基努,,,,,,,,,,,,,,,,,,,,,
19,c,陳為民,楊繡惠,白雲,錦雯,NONO,,,,,,,,,,,,,,,,,,,,,,,,
20,c,唐從聖,孫其君,綠茶,逸祥,視覺,Becca,陳宇馨,寧寧,宛宛兒,聽覺,雅雅,方語昕,王喬尹,陳安,,,,,,,,,,,,,,,
21,c,曹西平,孫協志,小鍾,何妤玟,趙正平,,,,,,,,,,,,,,,,,,,,,,,,
22,c,沈玉琳,何妤玟,何嘉文,唐從聖李崗霖,符瓊音,康禎庭,南拳媽媽,,,,,,,,,,,,,,,,,,,,,,
23,c,妮娜,馬丁,銘銘,山姆,尚恩,派翠夏,波力士,,,,,,,,,,,,,,,,,,,,,,
24,c,小亮哥,侯昌明,Stanley,阿布,Paul,Wendy老師,,,,,,,,,,,,,,,,,,,,,,,
25,c,曹西平,Apple,廖慧珍,逸祥,呂文婉,古拉,唐婷婷,巴巴烙,,,,,,,,,,,,,,,,,,,,,
26,c,評審,玖壹壹曹西平,婁峻碩,斯亞,山豬,阿虎,郭子,魚乾,開水小姐,,,,,,,,,,,,,,,,,,,,
27,c,紅隊,張立東,梁以辰,小熊,大飛,藍隊,Terry,依依,徐瑋吟,逸祥,,,,,,,,,,,,,,,,,,,
28,c,委託人,小甜甜,劉雨柔,博焱,黃沐妍,調查目標,王少偉,周宜霈,阿虎,吳怡霈,,,,,,,,,,,,,,,,,,,
