"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69"
"c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a4>",0.00105561461484542,0.000731299281368815,0.00156977173328306,0.0045200519412264,0.000404652269024078,0.00133892294897673,0.0020065401769789,0.00080394490534585,0.00128461037785421,0.00126453834070024,0.00178523059863564,0.000489498712529126,0.0029505894616339,0.000788283640955996,0.000973762144710347,0.000384163546541846,0.00102013177064894,0.00125581738662645,0.00063557948014253,0.0018772527944416,0.000175427284258993,0.000372379388672464,0.00674420448373463,0.00052780730742271,0.00182824820342204,0.00104651448885537,0.00258288682355794,0.000809304538048155,0.00133892294897673,0.00150490513273417,0.00200986226336462,0,0,0.000892615299317818,0.000489498712529126,0,0.00394141820477998,0.00194752428942069,0.00230498127925108,0,0.00334884636433719,0.00127115896028506,0.00125150186296106,0.000350854568517986,0.00223427633203478,0,0.00158342192226813,0.00109694892205322,0.00104651448885537,0.000645721705889486,0,0.000892615299317818,0.00150490513273417,0.000401972452672925,0.000963457783390661,0.000632269170350121,0,0,0.00252907668140049,0.000788283640955996,0,0.00153665418616738,0.00255032942662234,0.000837211591084299,0.00158894870035633,0.000625750931480532,0.000350854568517986,0.000744758777344928,0.00505815336280097
"了",0.00112204200546426,0,0.0027067817451406,0.00279316839658125,0.00127455256931378,0.00437596382131063,0.00340984193868361,0.000944452623304453,0.00722636227372398,0.000533654124550077,0.00116176030654265,0.00224408401092853,0.00141160123268085,0.00079083683517662,0.0131278914639319,0,0.0032281700321144,0,0.00102561652061968,0,0.00257409636547684,0.000958240252841744,0,0.00112204200546426,0.00177403938701782,0.0027067817451406,0.00418975259487188,0.00382365770794133,0.00875192764262126,0,0.00188890524660891,0,0.000533654124550077,0.00116176030654265,0,0.0028232024653617,0.00079083683517662,0.0131278914639319,0.00432787630679074,0,0,0.00102561652061968,0,0.00514819273095369,0.000958240252841744,0,0,0.00177403938701782,0.0027067817451406,0.00418975259487188,0.00254910513862755,0.00875192764262126,0.00340984193868361,0.000944452623304453,0.00240878742457466,0,0,0.00224408401092853,0.00423480369804255,0.00079083683517662,0,0.00432787630679074,0,0.000825653551190686,0.00205123304123936,0,0.00643524091369211,0.000958240252841744,0.0016830630081964
"八點半",0.0145940404026766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大家",0.00342424644183418,0,0.00426686205841118,0,0.00117770325600655,0,0.0113190368493963,0,0.00245473088300161,0,0,0.00271656884385512,0,0.00336764732709312,0.00539715664342077,0.00215600701893263,0,0.00599243127320982,0.00657234397706884,0.00282975921234908,0.00529201722828919,0,0,0,0,0,0.00420087965544606,0,0,0.0113190368493963,0.00354335066589798,0,0,0,0.00271656884385512,0,0,0.00539715664342077,0,0,0,0,0.00282975921234908,0.00529201722828919,0.00217906591753084,0,0.00342424644183418,0.00281024363157426,0,0,0,0,0.0226380736987927,0,0,0.00351280453946783,0,0,0.00299621563660491,0,0.00269857832171038,0,0,0,0,0,0,0,0
"小時",0.0202752311378573,0,0,0,0,0,0,0,0,0,0,0,0,0.0160621960962246,0,0,0,0,0,0,0,0,0.0271821780089955,0,0,0,0,0,0,0,0.0105708470034982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"工廠",0.0082091477265056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"今<a6>",0.00791320671551698,0.0111715859513181,0.0061263535862067,0,0,0.0040623948913884,0,0,0,0,0,0,0,0,0,0.00457631231740741,0,0,0,0,0,0,0,0,0.0335147578539543,0,0.00527547114367799,0,0.0040623948913884,0,0,0,0,0,0,0,0,0,0,0,0.0242447184475414,0,0,0,0.00503091287873927,0,0,0,0.0122527071724134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401940658565942
"六根清靜",0.00747499630380998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"公司",0.0126202969327479,0,0,0.0138965067349359,0,0,0,0,0,0,0,0,0,0,0.00981578650324836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122454366278148,0,0,0,0,0,0,0,0,0,0,0,0,0
